date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:07	25728/25728	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jan%202024%2006:37:39%20GMT	https://55hotel.com.br/medias/elementor/thumbs/hotel-smart-55-em-joinville-centro-sc-hospedagens-1-qhunpuec4rnyl1xlxt88j8tawzkl86tf2ix1w2cjk0.png	C:/My%20Web%20Sites/55hotel/55hotel.com.br/medias/elementor/thumbs/hotel-smart-55-em-joinville-centro-sc-hospedagens-1-qhunpuec4rnyl1xlxt88j8tawzkl86tf2ix1w2cjk0.png	(from https://55hotel.com.br/)
11:54:07	320467/320467	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2001:31:23%20GMT	https://55hotel.com.br/nossos-servicos	C:/My%20Web%20Sites/55hotel/55hotel.com.br/nossos-servicos.html	(from https://55hotel.com.br/)
11:54:08	290807/290807	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Nov%202024%2023:54:53%20GMT	https://55hotel.com.br/empresa/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/empresa/index.html	(from https://55hotel.com.br/)
11:54:08	330496/330496	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202024%2013:04:58%20GMT	https://55hotel.com.br/galeria-de-fotos	C:/My%20Web%20Sites/55hotel/55hotel.com.br/galeria-de-fotos.html	(from https://55hotel.com.br/)
11:54:08	229251/229251	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2004:01:31%20GMT	https://55hotel.com.br/regras-pet/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/regras-pet/index.html	(from https://55hotel.com.br/)
11:54:09	360404/360404	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202024%2009:46:02%20GMT	https://55hotel.com.br/servicos/suite-102-quarto-quadruplo/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/servicos/suite-102-quarto-quadruplo/index.html	(from https://55hotel.com.br/)
11:54:09	350524/350524	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2002:48:57%20GMT	https://55hotel.com.br/servicos/quarto-casal/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/servicos/quarto-casal/index.html	(from https://55hotel.com.br/)
11:54:09	356790/356790	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Nov%202024%2002:48:17%20GMT	https://55hotel.com.br/servicos/suite-101-do-55-inn-hotel-joinville/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/servicos/suite-101-do-55-inn-hotel-joinville/index.html	(from https://55hotel.com.br/)
11:54:09	353741/353741	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202024%2019:00:46%20GMT	https://55hotel.com.br/servicos/quarto-casal-104-bom-custo-beneficio/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/servicos/quarto-casal-104-bom-custo-beneficio/index.html	(from https://55hotel.com.br/)
11:54:09	264554/264554	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2019:46:34%20GMT	https://55hotel.com.br/contatos	C:/My%20Web%20Sites/55hotel/55hotel.com.br/contatos.html	(from https://55hotel.com.br/)
11:54:10	353038/353038	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202024%2019:23:48%20GMT	https://55hotel.com.br/servicos/quarto-casal-de-16m2-completo/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/servicos/quarto-casal-de-16m2-completo/index.html	(from https://55hotel.com.br/)
11:54:10	351949/351949	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2010:24:27%20GMT	https://55hotel.com.br/servicos/suite-201-casal-17m2-no-2-andar/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/servicos/suite-201-casal-17m2-no-2-andar/index.html	(from https://55hotel.com.br/)
11:54:10	983269/983269	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Oct%202023%2021:32:55%20GMT	https://55hotel.com.br/medias/55-Inn-Hotel-Streaming-TV-sem-custo-adicional.png	C:/My%20Web%20Sites/55hotel/55hotel.com.br/medias/55-Inn-Hotel-Streaming-TV-sem-custo-adicional.png	(from https://55hotel.com.br/)
11:54:10	282072/282072	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Oct%202023%2021:30:14%20GMT	https://55hotel.com.br/medias/55-Inn-Hotel-Streaming-de-TV-sem-custo-adicional.png	C:/My%20Web%20Sites/55hotel/55hotel.com.br/medias/55-Inn-Hotel-Streaming-de-TV-sem-custo-adicional.png	(from https://55hotel.com.br/)
11:54:10	30422/30422	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2015%20Nov%202024%2001:03:42%20GMT	https://55hotel.com.br/servicos/suite-202-solteiro-economico-12m%c2%b2-no-centro/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/servicos/suite-202-solteiro-economico-12m%c2%b2-no-centro/index.html	(from https://55hotel.com.br/)
11:54:10	534754/534754	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202023%2017:46:11%20GMT	https://55hotel.com.br/medias/comida-alema-joinville-santa-catarina-sc.jpg	C:/My%20Web%20Sites/55hotel/55hotel.com.br/medias/comida-alema-joinville-santa-catarina-sc.jpg	(from https://55hotel.com.br/)
11:54:11	352338/352338	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20Jun%202024%2016:06:36%20GMT	https://55hotel.com.br/medias/WhatsApp-Image-2024-06-11-at-15.04.04.jpeg	C:/My%20Web%20Sites/55hotel/55hotel.com.br/medias/WhatsApp-Image-2024-06-11-at-15.04.04.jpg	(from https://55hotel.com.br/)
11:54:11	3919/3919	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jun%202024%2017:54:27%20GMT	https://55hotel.com.br/medias/elementor/thumbs/hotel-55-quarto-308-17-metros-flat-1-qpsy1dfuz6f2hpbkgfpzmdvrq3hcq364a8g4mvswp0.jpeg	C:/My%20Web%20Sites/55hotel/55hotel.com.br/medias/elementor/thumbs/hotel-55-quarto-308-17-metros-flat-1-qpsy1dfuz6f2hpbkgfpzmdvrq3hcq364a8g4mvswp0.jpg	(from https://55hotel.com.br/)
11:54:11	3377/3377	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Sep%202023%2000:27:39%20GMT	https://55hotel.com.br/medias/elementor/thumbs/suite-307-solteiro-flat-55-in-hotel-sc-qd5czm2z77mxl33z9ysq0spubu1p1l6uynkrchr6o4.jpg	C:/My%20Web%20Sites/55hotel/55hotel.com.br/medias/elementor/thumbs/suite-307-solteiro-flat-55-in-hotel-sc-qd5czm2z77mxl33z9ysq0spubu1p1l6uynkrchr6o4.jpg	(from https://55hotel.com.br/)
11:54:11	31305/31305	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2014%20Nov%202024%2023:32:36%20GMT	https://55hotel.com.br/servicos/quarto-casal-de-16m%c2%b2/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/servicos/quarto-casal-de-16m%c2%b2/index.html	(from https://55hotel.com.br/)
11:54:11	3458/3458	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20Jun%202024%2017:26:00%20GMT	https://55hotel.com.br/medias/elementor/thumbs/WhatsApp-Image-2024-06-11-at-18.51.21-2-qpr5rcfi06osgqkqr6o89bm0n91572n04uxi9uu2ro.jpeg	C:/My%20Web%20Sites/55hotel/55hotel.com.br/medias/elementor/thumbs/WhatsApp-Image-2024-06-11-at-18.51.21-2-qpr5rcfi06osgqkqr6o89bm0n91572n04uxi9uu2ro.jpg	(from https://55hotel.com.br/)
